分类,公司,上班时间(原文),公司_规范,下班时间(原文),公司_集团,公司评分,评分等级,部门,部门_规范,岗位,岗位_规范,base地,城市,上班时间(标准),下班时间(标准),工作时长_小时,一周工作天数,工作天数(数字),午饭时间,晚饭时间,周三是否特殊,周五是否特殊,新人是否日报/周报,行业,行业细分,补齐标记,备注,35岁比例,福利,外资,来源
互联网,新浪,10:00:00,新浪,19:00:00,新浪,86.6,舒适,IS,IS,后端,后端开发,北京,北京,10:00,19:00,9,5,5,12:00,18:00,否,是,周报,互联网,互联网/软件,,上下班弹性，工时满足够即可,,,否,总表
互联网,蚂蚁,10:00:00,蚂蚁集团,09:00:00,阿里巴巴,75.5,良好,数金线,数金线,运营,运营,杭州,杭州,10:00,21:00,11,5,5,12:00,18:00,是,是,双周报,互联网,互联网/软件,,,,,否,总表
互联网,蚂蚁,10,蚂蚁集团,9点以后,阿里巴巴,75.5,良好,国际,国际,其他,其他,上海,上海,10:00,21:00,11,5,5,12:00,18:00,是,是,否,互联网， 金融,金融,,变动频繁，流动快,,,否,总表
互联网,浪潮软件股份,08:30:00,浪潮软件,6点,浪潮软件,71,良好,政府信息话,政府信息话,后端,后端开发,济南,济南,08:30,18:00,9.5,6,6,12:00,17:30,否,否,都有,互联网， 国企,互联网/软件,,啥都干，不专精,,,否,总表
互联网,哔哩哔哩,10:00:00,哔哩哔哩,19:00:00,哔哩哔哩,86.5,舒适,保密,未披露,其他,其他,上海,上海,10:00,19:00,9,5,5,13:00,-,否,否,否,互联网,互联网/软件,,有绩效考核，还是有点压力的。但是没有加班风气，我们都是踩点下班。,,,否,总表
互联网,阿里,10:30 之前,阿里巴巴,大部分人9点,阿里巴巴,78.5,良好,阿里云基础产品事业部,产品,后端,后端开发,北京,北京,10:30,21:00,10.5,5,5,12:00,18:00,否,是， 一般18点就走人了,否,互联网,互联网/软件,,组长们都比较拼，基本9:00 到22:00,,,否,总表
互联网,腾讯,11点前,腾讯,脸皮厚7点 一般八点,腾讯,79.1,良好,PCG,PCG,后端,后端开发,北京,北京,11:00,19:00,8,随缘,5,12:00,18:00,否,否,日报,互联网,互联网/软件,工作天数,,,,否,总表
互联网,跨越速运,9.00-9.30,跨越速运,6.00-6.30,跨越速运,74,良好,互联网,互联网,后端,后端开发,深圳,深圳,09:00,18:00,9,5,5,未填写,18:00,未填写,未填写,未填写,互联网,互联网/软件,,超级无敌卷，8点才算加班，经常晚上开会，升职无望，年终奖也没有，各种宫斗。,,,否,总表
互联网,京东,9点,京东,21点,京东,80.5,良好,京东零售,电商,其他,其他,北京,北京,09:00,21:00,12,5,5,12:00,19:00,否,否,是,互联网,互联网/软件,,HRBP，7月和12月的加班时长超110个小时,我们事业部的35岁占比比例为30%左右。,,否,总表
互联网,Coupang,10:00:00,Coupang,18:30:00,Coupang,94.6,舒适,Marketplace,Marketplace,后端， 前端,后端开发/前端开发,上海,上海,10:00,18:30,8.5,5,5,未填写,未填写,否,否,否,互联网,互联网/软件,,,,,否,总表
互联网,广州致盛信息科技有限公司-广州领宏科技有限公司,9点,广州致盛信息科技有限公司-广州领宏科技,18:30:00,广州致盛信息科技有限公司-广州领宏科技,87,舒适,研发部,技术/研发,前端,前端开发,广州,广州,09:00,18:30,9.5,5,5,12:00,未填写,未填写,未填写,所有人日报+周报,互联网,互联网/软件,,,0/30,,否,总表
互联网,达达-京东到家,10,京东,19.30到21不等,京东,80.5,良好,到家大商超及医药业务部,到家大商超及医药业务部,运营,运营,北京,北京,10:00,19:00,9,5,5,未填写,18:00,普通下午茶,未填写,正常日报周报,互联网,互联网/软件,,实话说摸仔很多，超市少一点其他多,,,否,总表
互联网,微策略软件,10点左右,微策略软件,6点半左右,微策略软件,100,舒适,Tech,Tech,后端， 前端， 测试（测开）,后端开发/前端开发/测试,杭州,杭州,10:00,18:00,8,5,5,12:00,不固定,否,否,否,互联网,互联网/软件,,周一居家办公，福利众多，email to: ，急招前端，另有大量HC。,,,否,总表
互联网,每日互动,9:00～9:30,每日互动,平均8～9点，8点前走第二天必须9点前到,每日互动,60.8,一般,BSG,BSG,前端,前端开发,杭州,杭州,09:00,20:00,11,5,5,12:00,18:00,否,否,日报+周报,互联网,互联网/软件,,21年初忽然开始加班，业务激增，管理层调整频繁，领导多,44232,,否,总表
互联网,MicroStrategy,10点左右,MicroStrategy,6点半左右,MicroStrategy,100,舒适,Tech,Tech,后端， 前端， 测试（测开）,后端开发/前端开发/测试,杭州,杭州,10:00,18:00,8,5,5,12:00,不固定,否（周一全员居家办公）,否,否,互联网,互联网/软件,,周一居家办公，福利众多，email to: ，急招前端，另有大量HC。,,,否,总表
互联网,便利蜂,早上9-10点,便利蜂,晚上10-11点,便利蜂,69.7,一般,店铺运营中台,运营,运营,运营,北京,北京,09:00,10:00,1,5,5,12:00,18:00,否,否,5级以下日报，5级以上周报,互联网， 零售,互联网/软件,,,,,否,总表
互联网,华为,9,华为,一般到21点，活干完了可以18点走,华为,78.8,良好,消费者bg运动健康,消费者bg运动健康,Android,客户端开发,深圳,深圳,09:00,,,6,6,12:00,18:00,否,否,是,互联网， 民营企业,互联网/软件,,,,,否,总表
互联网,腾讯,10：30之前,腾讯,22：00左右,腾讯,79.1,良好,CSIG在线教育,CSIG在线教育,产品,产品经理,北京,北京,10:30,22:00,11.5,5,5,12:00,18:00,否,否,日报+周报,互联网,互联网/软件,,,,,否,总表
互联网,阿里,10:00-10:30,阿里巴巴,9:00左右，不同组不一样,阿里巴巴,78.5,良好,AE技术部,技术/研发,测试（测开）,测试,杭州,杭州,10:00,21:00,11,5,5,12:00,18:00,否,6点走,日报,互联网,互联网/软件,,加班可换调休,44199,,否,总表
互联网,网易,十点,网易,6点可打卡，一般八点前走，项目上线等比较忙的特殊时候可能短期到九点,网易,82.3,良好,某工作室,未披露,游戏研发,研发,广州,广州,09:30,06:00,20.5,5,5,12:00,18:00,否,走得早，六点走不少,周报,互联网,互联网/软件,上班时间,,不知。但有,,否,总表
互联网,货拉拉,9:30-10,货拉拉,8:30-9,货拉拉,76.8,良好,技术中心,技术/研发,后端， 前端， 产品， 算法， 数据分析， IOS， Android,后端开发/前端开发/产品经理/算法/数据分析/客户端开发,北京,北京,09:30,20:30,11,5,5,12:00,18:00,否,可以6-7点下班,是,互联网,互联网/软件,,,0.1,,否,总表
互联网,爱奇艺,44449,爱奇艺,44354,爱奇艺,92.1,舒适,IIG,IIG,算法,算法,成都,成都,10:00,18:00,8,5,5,12:00,18:00,否,否,是,互联网,互联网/软件,上班时间;下班时间,,0/17,,否,总表
互联网,唯品会,9:30-10:00,唯品会,20:00:00,唯品会,78.1,良好,产品技术中心,技术/研发,运维（SRE）,运维,上海,上海,09:30,20:00,10.5,5,5,12:00,18:50,否,否,否,互联网,互联网/软件,,否,,,否,总表
互联网,字节跳动,10.3,字节跳动,10,字节跳动,70.2,良好,游戏,游戏,算法,算法,深圳,深圳,10:18,22:00,11.7,5,5,12:00,19:00,隔2周一个活动日 可早下班,可早下班,是,互联网,互联网/软件,,,,,否,总表
互联网,百度,10点30左右,百度,10点之后,百度,75,良好,推荐策略部-垂类,推荐策略部-垂类,算法,算法,北京,北京,10:30,22:00,11.5,5,5,12:00,18:00,未填写,未填写,新人前三月日报,互联网,互联网/软件,,新人前三月日志，组内每天站会，有时候周末也上线，领导pua，团队氛围凝重，晋升难，绩效系数不高，不建议来。,,,否,总表
互联网,杭州掌动科技有限公司,09:00:00,杭州掌动科技,20：00-22：00,杭州掌动科技,60.8,一般,策划部,策划部,产品， 测试（测开）， 其他,产品经理/测试/其他,杭州,杭州,09:00,20:00,11,5,5,12:30,18:00,否,否,是,互联网， 游戏行业,互联网/软件,,,44234,,否,总表
互联网,阿里,10点半,阿里巴巴,7点多,阿里巴巴,78.5,良好,CTO线,CTO线,后端,后端开发,杭州,杭州,10:00,19:00,9,5,5,12:00,18:00,18点下班,18点下班,否,互联网,互联网/软件,,不加班从我做起，撸资本主义羊毛,0/8,,否,总表
互联网,阿里巴巴,9.3,阿里巴巴,20:00～22:00,阿里巴巴,78.5,良好,钉钉,钉钉,前端,前端开发,杭州,杭州,09:18,20:00,10.7,5,5,12:00,18:00,是,是,双周,互联网,互联网/软件,,最近加班比之前少,,,否,总表
互联网,小米南京总部,09:00:00,小米,06:30:00,小米,67.6,一般,手机测试部,测试/质量,前端,前端开发,南京,南京,09:00,18:30,9.5,5,5,11:30,18:30,-,-,否,互联网， 通信,互联网/软件,,几乎无人加班,,,否,总表
互联网,泡游网络科技有限公司,9.3,泡游网络科技,18.30/21.30,泡游网络科技,95.1,舒适,匿,匿,其他,其他,没懂,没懂,09:18,18:00,8.7,5~6,5,12:00,18:00,是,否,日报+周报,互联网,互联网/软件,,,,,否,总表
互联网,亚马逊,10:00:00,亚马逊,19:00:00,亚马逊,90.7,舒适,卖家管理,卖家管理,客户经理,管理岗,上海,上海,10:00,19:00,9,5,5,12:00,19:30,否,是,否,互联网,互联网/软件,,工作时间灵活，工作地点灵活，但同样加班灵活，木有加班工资，老板不会强压，但是活儿干不完还得自觉加班,7/49,,否,总表
互联网,阿里,10:00:00,阿里巴巴,20:00:00,阿里巴巴,78.5,良好,CCO技术部,技术/研发,后端,后端开发,杭州,杭州,10:00,20:00,10,5,5,12:00,18:00,是,是,否,互联网,互联网/软件,,刚入职的新同学，同事很Nice，非常棒。,,,否,总表
互联网,网易互娱,10,网易,18-20,网易,82.3,良好,奇点事业部,奇点事业部,全栈,全栈开发,上海,上海,10:00,18:00,8,5,5,未填写,18:00,双周周三一般22,否,一直要写，简单写干了啥就行,互联网,互联网/软件,,,几乎无35+,,否,总表
互联网,广州饿狼网络有限公司,9:30-10:00,广州饿狼网络,20:00-22:00,广州饿狼网络,65.2,一般,运营部,运营,运营,运营,广州,广州,09:30,20:00,10.5,5-6天，单双休,5,12:00,18:30,否,否,每周需要周报,互联网,互联网/软件,,单双休，大部分时间是22:00下班,0/10,,否,总表
互联网,shopee,10点,shopee,活干完7点走,shopee,80.6,良好,DP&Local Service,DP&Local Ser,前端,前端开发,深圳,深圳,10:00,19:00,9,5,5,12:00,未填写,否,否,周报,互联网,互联网/软件,,,,,否,总表
互联网,武汉联影医疗科技有限公司,09:00:00,武汉联影医疗科技,08:30:00,武汉联影医疗科技,50.9,偏卷,大前端,大前端,后端， 前端， 运维（SRE）， 测试（测开）， 算法， 全栈,后端开发/前端开发/运维/测试/算法/全栈开发,武汉,武汉,09:00,20:30,11.5,大小周,,12:00,18:00,否,是,是,互联网， 民营企业， 其他,互联网/软件,,周一、三、四加班到8点半，周二6点下班，大小周,1/33,,否,总表
互联网,大疆创新,9-10.5,大疆,6-7.5,大疆,57,一般,自动驾驶研发部,技术/研发,后端,后端开发,深圳,深圳,09:00,18:00,9,5,5,14:00,13:00,否,是,周报,互联网,互联网/软件,,不强制加班。除了周五，一般大家都是9点左右走的,,,否,总表
互联网,武汉扶摇网络科技有限公司,9,武汉扶摇网络科技,18,武汉扶摇网络科技,86.4,舒适,技术部,技术/研发,前端,前端开发,武汉,武汉,09:00,18:00,9,6,6,12:00,未填写,未填写,未填写,是,互联网,互联网/软件,,,,,否,总表
互联网,默契破冰科技有限公司,10,默契破冰科技,07:30:00,默契破冰科技,83.8,良好,玩吧事业部,玩吧事业部,产品,产品经理,北京,北京,10:00,19:30,9.5,5,5,12:00,未填写,6点下班,未填写,是,互联网,互联网/软件,,内卷严重,,,否,总表
互联网,广州四三九九网络科技有限公司,09:00:00,广州四三九九网络科技,21:00:00,广州四三九九网络科技,44,偏卷,游戏研发部门,技术/研发,产品,产品经理,广州鱼珠保利港口,广州,09:00,21:00,12,6,6,13:00,13:00,否,否,是,互联网,互联网/软件,,垃圾公司，不要来,44213,,否,总表
互联网,腾讯,10点,腾讯,8点-11点,腾讯,79.1,良好,微信,微信,后端,后端开发,深圳,深圳,10:00,20:00,10,5,5,14:00,13:00,周三运动日可以去运动,周五大家吃完晚饭就陆续走了,无日报无周报,互联网,互联网/软件,,,,,否,总表
互联网,招银网络科技,8.30-12.00  14.00-17.30,招银网络科技,17.30，但加班一般晚8.30-10.00,招银网络科技,69.8,一般,基础运营开发,技术/研发,后端,后端开发,成都,成都,08:00,17:00,9,5,5,12:00,17:00,否，都加班,否，不加班,是,互联网， 金融,金融,,不强制加班，但都加班，大多8.30-10,没算过，应该都是35以下,,否,总表
互联网,美团,10:00:00,美团,22:00:00,美团,70.2,良好,美团买菜,美团买菜,运营,运营,北京,北京,10:00,22:00,12,5天,5,14:00,13:00,未填写,未填写,全员周报,互联网,互联网/软件,,,,,否,总表
互联网,泡泡玛特,09:00:00,泡泡玛特,18:00:00,泡泡玛特,86.4,舒适,机器人,机器人,运营,运营,全国,全国,09:00,18:00,9,7,7,未填写,未填写,未填写,未填写,未填写,互联网,互联网/软件,,感觉挺躺平的。 近期上新系统 ，完全属于降低工作效率和质量，但是 仍旧进行中~~愈演愈烈~~,,,否,总表
互联网,万兴科技,09:00:00,万兴科技,21~22：00，22点后较多,万兴科技,56.7,一般,运营,运营,运营,运营,深圳,深圳,09:00,21:00,12,5,5,12:00,18:00,否,周五一般可准时下班,新老人都要日报/周报,互联网,互联网/软件,,,,,否,总表
互联网,阿里,9:30-10:00,阿里巴巴,6:00直接走,阿里巴巴,78.5,良好,智能引擎事业部（原搜索事业部）,算法,后端,后端开发,杭州,杭州,09:30,18:00,8.5,5,5,12:00,18:00,否,否,是,互联网,互联网/软件,,欢迎转岗,,,否,总表
互联网,酷家乐,09:30:00,酷家乐,20:00:00,酷家乐,79.3,良好,BIM平台线,数据,后端， 前端， 测试（测开）,后端开发/前端开发/测试,上海,上海,09:30,20:00,10.5,5,5,未填写,未填写,未填写,未填写,是,互联网,互联网/软件,,bim部门口头要求平均工时大于10小时，即至少早9晚7,,,否,总表
互联网,腾讯,10:00:00,腾讯,19:00-22:00，通常21:30后,腾讯,79.1,良好,CSIG-企业中台产品部,产品,产品,产品经理,北京,北京,10:00,19:00,9,5,5,12:30,不吃,否,否,是,互联网,互联网/软件,,,,,否,总表
互联网,百度,10,百度,44417,百度,75,良好,贴吧,贴吧,前端,前端开发,北京,北京,10:00,21:00,11,5,5,12:00,18:00,否,没事7点跑,否,互联网,互联网/软件,下班时间,,,,否,总表
互联网,美团,10点,美团,10点,美团,70.2,良好,广告平台,市场/品牌,算法,算法,北京,北京,10:00,10:00,,5,5,14:00,13:00,否,否,是,互联网,互联网/软件,,,,,否,总表
互联网,美团,09:00:00,美团,18:00:00,美团,70.2,良好,到家,到家,无人配送,无人配送,深圳,深圳,09:00,18:00,9,5,5,12:00,18:00,fou,小加班,fou,互联网,互联网/软件,,,150左右/500,,否,总表
互联网,知乎,10:30:00,知乎,19：00~19：30,知乎,92.7,舒适,大社区,大社区,运营,运营,北京,北京,10:30,19:00,8.5,5,5,12:00,18:30,否,可早走,没有日报，团队有周报，新人刚来几周是不用参与周报的,互联网,互联网/软件,,,,,否,总表
互联网,字节,一般10:30-11:00(弹性工作制),字节跳动,一般21:00-22.00(弹性工作制),字节跳动,70.2,良好,幸福里,幸福里,前端,前端开发,北京,北京,10:30,21:00,10.5,5,5,12:00,19:00,隔周周三活动日,弹性工作制，可以早走(19点),新人日报， 小组周报,互联网， 地产,互联网/软件,,,,,否,总表
互联网,百度,44450,百度,18-20,百度,75,良好,车路协同,车路协同,产品,产品经理,北京,北京,10:00,18:00,8,5,5,13:00,13:00,未填写,未填写,是,互联网,互联网/软件,上班时间,,,,否,总表
互联网,前程无忧51job,09:30:00,前程无忧51job,18:30:00,前程无忧51job,91.4,舒适,产品管理部,产品,产品,产品经理,上海,上海,09:30,18:30,9,5,5,11:00,未填写,否,否,否,互联网， 民营企业,互联网/软件,,,,,否,总表
互联网,科大讯飞,09:30:00,科大讯飞,21:00:00,科大讯飞,80.1,良好,核心研发平台AI研究院,技术/研发,测试（测开）,测试,合肥,合肥,09:30,21:00,11.5,5,5,11:55,18:20,周三可能会不加班,周五一般不加班,日报且周报,互联网,互联网/软件,,算法与引擎测试工程师,不知道,,否,总表
互联网,腾讯,9:30-10:00,腾讯,9点,腾讯,79.1,良好,TEG基础架构部,技术/研发,后端,后端开发,深圳,深圳,09:30,21:00,11.5,5,5,未填写,18:00,否,是,是,互联网,互联网/软件,,深圳最卷，北京上海好一些,44216,,否,总表
互联网,匠人,9点,匠人,6点,匠人,92.4,舒适,运营,运营,运营,运营,杭州,杭州,09:00,18:00,9,5,5,12:00,未填写,否,否,是,互联网,互联网/软件,,,,,否,总表
互联网,奇安信,十点,奇安信,六点,奇安信,81,良好,安服,安服,安全,安全,深圳,深圳,09:00,,,5,5,12:00,---,没有特殊,没有特殊,几句话填写,互联网,互联网/软件,上班时间,舒舒服服，安服有大佬带，新人就有年假病假，每周每月都有下午茶生日会，气氛超好！！想来得小伙伴联系我吧qq,,,否,总表
互联网,叮咚买菜,10:00 前一天加班晚时可晚到,叮咚买菜,18:00 有事可先走 一般都到20:30之后 因为有打卡补贴,叮咚买菜,90.1,舒适,技术中心,技术/研发,后端,后端开发,上海,上海,10:00,18:00,8,5,5,12:00,18:00,未填写,大部分都会早下班,否，但要开早会,互联网,互联网/软件,,,,,否,总表
互联网,微软中国,不固定，12点前,微软,不固定，一般6点,微软,99.4,舒适,STCA,STCA,SDE,SDE,北京,北京,12:00,18:00,6,5,5,未填写,17:00,否,否,否,互联网,互联网/软件,,每周可以wfh2天,44296,,否,总表
互联网,腾讯,9点（9.30左右有晨会）,腾讯,9.30 - 10（早走要提前说）,腾讯,79.1,良好,pcg-看点,pcg-看点,前端， IOS， Android,前端开发/客户端开发,成都,成都,09:00,09:00,,5,5,12:00,18:00,否,否（可以早一点）,日报周报都有,互联网,互联网/软件,,强度很大,30%+,,否,总表
互联网,好未来,10点,好未来,21点左右,好未来,74.9,良好,网校,网校,前端,前端开发,北京,北京,10:00,21:00,11,5,5,12:00,19:30,未填写,未填写,是,互联网， 教育,互联网/软件,,,,,否,总表
互联网,华住,09:30:00,华住,20:00:00,华住,65.2,一般,科技中心,科技中心,后端,后端开发,上海,上海,09:30,20:00,10.5,5（部分部门周末固定加班）,5,11:30,不固定,否,否,否,互联网， 民营企业,互联网/软件,,,,,否,总表
互联网,亿咖通,9:30（不打卡）,亿咖通,18:00-19:00,亿咖通,71.5,良好,技术研发中心,技术/研发,测试（测开）,测试,杭州,杭州,09:30,18:00,8.5,5,5,12:00,17:45,否,否,否,I 互联网， C 制造业（包括通信 纺织 机械 汽车）,互联网/软件,,日报/周报各组情况不同,,,否,总表
互联网,腾讯,09:30:00,腾讯,18:30:00,腾讯,79.1,良好,IEG天美F1,IEG天美F1,后端， 前端， 产品， 运营， 运维（SRE）， 测试（测开）， 算法， 数据分析， 全栈， 设计， 客户端,后端开发/前端开发/产品经理/运营/运维/测试/算法/数据分析/全栈开发/设计/客户端开发,深圳,深圳,09:30,18:30,9,5,5,12:00,18:30,18:00强制下班,下班比较早,未填写,I 互联网,互联网/软件,,,,,否,总表
互联网,引导美梦圆皇宫,09:15:00,引导美梦圆皇宫,06:15:00,引导美梦圆皇宫,91.9,舒适,开发,技术/研发,后端,后端开发,深圳,深圳,09:15,18:15,9,5,5,12:00,未填写,未填写,未填写,所有人都要,I 互联网， Q 卫生和社会工作,互联网/软件,,pua,,,否,总表
互联网,易帆互动,09:30:00,易帆互动,18:30:00,易帆互动,87,舒适,开发,技术/研发,前端,前端开发,深圳,深圳,09:30,18:30,9,大小周,,12:30,18:30,否,否,否,I 互联网,互联网/软件,,,,,否,总表
互联网,字节跳动,10:30:00,字节跳动,9,字节跳动,70.2,良好,创意与生态,创意与生态,后端,后端开发,北京,北京,10:30,21:00,10.5,5,5,未填写,未填写,未填写,未填写,未填写,I 互联网,互联网/软件,,,,,否,总表
互联网,趣头条,10:00:00,趣头条,19:00:00,趣头条,89.2,舒适,中台,平台/中台,其他,其他,北京,北京,10:00,19:00,9,5,5,12:00,18:00,否,否,否,I 信息传输、软件和信息技术服务业（包括电信 互联网 广播 软件）,互联网/软件,,,,,否,总表
互联网,虹软,9,虹软,8,虹软,60.8,一般,Esc,Esc,测试（测开）,测试,杭州,杭州,09:00,20:00,11,5,5,11:00,17:00,否,否,是,I 信息传输、软件和信息技术服务业（包括电信 互联网 广播 软件）,互联网/软件,,,,,否,总表
互联网,oppo,09:00:00,oppo,21:00:00,oppo,66,一般,软件工程,技术/研发,产品,产品经理,深圳,深圳,09:00,21:00,12,5,5,12:00,18:00,运动日，但很少运动,未填写,按任务teambition跟进，无固定日报周报，有周会,I 信息传输、软件和信息技术服务业（包括电信 互联网 广播 软件）,互联网/软件,,白天开会，晚上干活,4/73,,否,总表
互联网,Longbridge(长桥证券),10:00:00,Longbridge(长桥证券),大部分人都在 19:00-20:00的样子下班，非技术走的早一些,Longbridge(长桥证券),89.2,舒适,Gohan,Gohan,后端,后端开发,杭州,杭州,10:00,19:00,9,5,5,12:00,18:00,很多团建/兴趣小组活动 （非必须参加）,6点半公司基本就没人了,未填写,I 信息传输、软件和信息技术服务业（包括电信 互联网 广播 软件）， J 金融业,金融,,公司还是很开放轻松的，像外企,,,否,总表
互联网,腾讯,10:00:00,腾讯,21:00:00,腾讯,79.1,良好,腾讯云,腾讯云,运营,运营,深圳,深圳,10:00,21:00,11,5,5,未填写,未填写,未填写,未填写,未填写,I 信息传输、软件和信息技术服务业（包括电信 互联网 广播 软件）,互联网/软件,,,,,否,总表
互联网,跨越速运,09:00:00,跨越速运,18:00（一般22:00，特殊情况2:00）,跨越速运,74,良好,大数据中心,数据,后端,后端开发,深圳,深圳,09:00,18:00,9,5（上半年大小周，每次放长假就需要补班。去年过年放七天假，结果前面连着上10天，来了连续上9天）,5,12:30,18:00,未填写,未填写,新人刚开始写日报，然后所有人都需要写周报,I 互联网， G 交通运输、仓储和邮政业,互联网/软件,,,7/100,,否,总表
互联网,杭州百腾教育科技有限公司,14:00:00,杭州百腾教育科技,17:00:00,杭州百腾教育科技,100,舒适,运营,运营,运营,运营,杭州,杭州,14:00,17:00,3,5,5,11:30,18:00,否,否,否,I 信息传输、软件和信息技术服务业（包括电信 互联网 广播 软件）， P 教育业,互联网/软件,,冰淇淋水果等不限量供应，上班时间不忙的时候可以玩任天堂健身环，报销健身卡。,0/13,,否,总表
互联网,杭州小拇指,8.45,杭州小拇指,5：15 一般6点,杭州小拇指,90.3,舒适,IT部,技术/研发,后端， 前端,后端开发/前端开发,杭州,杭州,08:27,17:15,8.8,5,5,12:15,未填写,否,否,未填写,I 信息传输、软件和信息技术服务业（包括电信 互联网 广播 软件）， G 交通运输、仓储和邮政业,互联网/软件,,,,,否,总表
互联网,小牛互娱,13:30:00,小牛互娱,1,小牛互娱,45,偏卷,互动社交事业部,互动社交事业部,产品,产品经理,上海,上海,13:30,12:00,22.5,5~6,5,12:00,19:00,抠搜下午茶,没事准时18:30走，有事继续干,是,I 信息传输、软件和信息技术服务业（包括电信 互联网 广播 软件）,互联网/软件,,上海加班最狠，正常上班时间9:30-18:30，加班常态，23:00打车才报销。23:00下班第二天11点上班。24:00后下班第二天13:30上班，所以这两时间段是下班高峰。平日加班不给调休，周末加班给调休不给加班费。,,,否,总表
互联网,腾讯,11:00:00,腾讯,20:00:00,腾讯,79.1,良好,企业微信,企业微信,产品,产品经理,广州,广州,11:00,20:00,9,5,5,12:00,18:00,否,否,看组,I 信息传输、软件和信息技术服务业（包括电信 互联网 广播 软件）,互联网/软件,,年终多、房价低、派活少、压力少、下班早。唯一就是业务没什么空间。,,,否,总表
互联网,广州探迹科技,9,广州探迹科技,21,广州探迹科技,66.1,一般,产品研发,技术/研发,前端,前端开发,广州,广州,09:00,21:00,12,大小周,5,12:00,18:00,否,否,看leader，日报周报代码量,I 信息传输、软件和信息技术服务业（包括电信 互联网 广播 软件）,互联网/软件,工作天数,能别来别来,0/40,,否,总表
互联网,上海蝶普-金蝶软件,9点,上海蝶普-金蝶软件,6点,上海蝶普-金蝶软件,92.4,舒适,技术部,技术/研发,运维（SRE）,运维,上海,上海,09:00,18:00,9,5,5,12:00,19:00,否,否,是,I 信息传输、软件和信息技术服务业（包括电信 互联网 广播 软件）,互联网/软件,,,,,否,总表
互联网,腾讯云子公司,10:00:00,腾讯,21:00:00,腾讯,79.1,良好,智慧零售,电商,后端,后端开发,武汉,武汉,10:00,21:00,11,5,5,12:00,18:00,否,未填写,周报,I 信息传输、软件和信息技术服务业（包括电信 互联网 广播 软件）,互联网/软件,,,,,否,总表
互联网,哔哩哔哩,10:00:00,哔哩哔哩,理论上19:00,哔哩哔哩,86.5,舒适,Access,Access,美术,美术,北京,北京,10:00,19:00,9,5.5(大小周),5.5,12:30,20:30,否,否,是,I 信息传输、软件和信息技术服务业（包括电信 互联网 广播 软件）,互联网/软件,,二次元,,,否,总表
互联网,阿里巴巴,10,阿里巴巴,7-9（8点有餐补 9点后打车报销 大部分人8点后走）,阿里巴巴,78.5,良好,本地生活,本地生活,算法,算法,上海,上海,10:00,19:00,9,5,5,12:00,18:00,未填写,一般7点,周报,I 信息传输、软件和信息技术服务业（包括电信 互联网 广播 软件）,互联网/软件,,,0/y,,否,总表
互联网,京东,10,京东,09:30:00,京东,80.5,良好,商业提升,商业提升,后端,后端开发,北京北辰,北京,10:00,21:30,11.5,5,5,未填写,未填写,未填写,未填写,未填写,I 信息传输、软件和信息技术服务业（包括电信 互联网 广播 软件）,互联网/软件,,偶尔周末加班,,,否,总表
互联网,酷家乐,10:00:00,酷家乐,08:00:00,酷家乐,79.3,良好,研发部,技术/研发,前端,前端开发,成都,成都,10:00,20:00,10,5,5,12:00,18:30,否,到点下班,是,I 信息传输、软件和信息技术服务业（包括电信 互联网 广播 软件）,互联网/软件,,平时超出9个小时的工作时间都可以用来请弹性假，还算比较人性化,无,,否,总表
互联网,中兴,8:00-9:00,中兴,5:00-6:00,中兴,82,良好,深圳RAN开发二部,技术/研发,后端,后端开发,深圳,深圳,08:00,17:00,9,6,6,12:00,17:30,124默认加班到晚8:30， 周二晚一般是运动可打篮球啥的，35上班到晚6:00，6一般情况也会上班一天到晚6:00,124默认加班到晚8:30， 周二晚一般是运动可打篮球啥的，35上班到晚6:00，6一般情况也会上班一天到晚6:00,有任务需求时组长或领导会要求发日报或周报,I 信息传输、软件和信息技术服务业（包括电信 互联网 广播 软件）,互联网/软件,,紧急任务（看团队和任务，一般比较少）可能会加班到晚12:00，或通宵（第二天上午调休），,,,否,总表
互联网,深圳智汇创想网络科技有限公司,09:00:00,深圳智汇创想网络科技,08:00:00,深圳智汇创想网络科技,56.3,一般,亚马逊运营中心,运营,运营， 其他,运营/其他,销售,销售,09:00,20:00,11,大小周,,12:00,未填写,未填写,未填写,新人日报，转正周报,I 信息传输、软件和信息技术服务业（包括电信 互联网 广播 软件）， F 批发和零售业,互联网/软件,,电商，公司不强制加班，但是你懂的,0,,否,总表
互联网,金山,09:00:00,金山,18:00可下班；大部分会吃饭回来后再工作一下，基本8点走完,金山,85.5,舒适,个人业务部,个人业务部,运营,运营,珠海,珠海,09:00,18:00,9,5,5,12:00,18:00,下午茶会特别点,否,周报,互联网,互联网/软件,,都需要周报，每日下午茶，饭堂三餐免费,几乎没有,,否,总表
互联网,宁畅信息产业股份有限公司,9点,宁畅信息产业,每月一半时间晚9点,宁畅信息产业,,数据不足,系统产品事业部,产品,硬件研发,硬件/嵌入式,天津,天津,09:00,09:00,,6,6,12:00,18:00,否,否,全员日报,I 信息传输、软件和信息技术服务业（包括电信 互联网 广播 软件）,互联网/软件,,工资低，管理水平低，加班严重,,,否,总表
