分类,公司,上班时间(原文),公司_规范,下班时间(原文),公司_集团,公司评分,评分等级,部门,部门_规范,岗位,岗位_规范,base地,城市,上班时间(标准),下班时间(标准),工作时长_小时,一周工作天数,工作天数(数字),午饭时间,晚饭时间,周三是否特殊,周五是否特殊,新人是否日报/周报,行业,行业细分,补齐标记,备注,35岁比例,福利,外资,来源
互联网,腾讯,10:00:00,腾讯,09:00:00,腾讯,79.1,良好,pcg-腾讯视频直播,pcg-腾讯视频直播,后端,后端开发,深圳,深圳,10:00,21:00,11,5,5,12:00,13:00,否,可以早走,组会,,未填写,,氛围不错，遇到大的需求可能加班较多,,,否,总表
互联网,腾讯,10:00:00,腾讯,22:00:00,腾讯,79.1,良好,PCG-微视,PCG-微视,算法,算法,深圳,深圳,10:00,22:00,12,5,5,12:00,18:00,否,6点下班,日报,,未填写,,,,,否,总表
互联网,腾讯,10,腾讯,9,腾讯,79.1,良好,PCG应用宝搜索算法组,算法,搜索算法,算法,深圳,深圳,10:00,21:00,11,5,5,14:00,18:00,未填写,周五晚上不加班,要写周报,,未填写,,谈不上卷，但是业务已经比较成熟，不好提高，难出新成果,,,否,总表
互联网,腾讯,10:00:00,腾讯,08:30:00,腾讯,79.1,良好,PCG-应用架构,PCG-应用架构,后端,后端开发,深圳,深圳,10:00,20:30,10.5,5,5,12:00,18:00,是,是,周报,,未填写,,,,,否,总表
互联网,腾讯,10,腾讯,9,腾讯,79.1,良好,pcg-QQ浏览器,pcg-QQ浏览器,后端,后端开发,深圳,深圳,10:00,21:00,11,5,5,12:00,18:00,否,否,周报+日报,,未填写,,,,,否,总表
互联网,腾讯,10,腾讯,6 无打卡，事情做完可走,腾讯,79.1,良好,S1,S1,行业研究,行业研究,北京,北京,10:00,18:00,8,5,5,12:00,回家吃,否,否,未填写,,未填写,,任务导向，部门没有强制加班，只要工作做完上下班都可以小范围灵活调整,,,否,总表
互联网,腾讯,10-6.5,腾讯,6.5-7,腾讯,79.1,良好,s1安全,风控/法务,后端,后端开发,北京,北京,10:00,18:00,8,5,5,14:00,00:00,否,否,周报周五填，顺便开组会,,未填写,,业务一般，没食堂，环境略差，正式员工也这样,,,否,总表
互联网,腾讯,10（±30min,腾讯,实习生7点，老员工8点，卷的10点前,腾讯,79.1,良好,数平,数平,数分,数据分析,北京,北京,10:00,19:00,9,5,5,14:00,不固定,否,否,周报（不写也没人管）,,未填写,,业务成熟，工龄都是至少5年+的员工，不知道能不能把好活分给新人，不知道成长大不大,,,否,总表
互联网,腾讯,10:00:00,腾讯,20:00-21:00,腾讯,79.1,良好,TEG广告多媒体AI中心,算法,算法,算法,深圳,深圳,10:00,20:00,10,5,5,11:30,17:30,运动日晚上不加班,否，但很多人晚上不加班,周报,,未填写,,氛围好，不太卷，leader不pua,,,否,总表
互联网,腾讯,10点,腾讯,8-10（平均9，看版本,腾讯,79.1,良好,TEG计费平台部,平台/中台,测开,测试,深圳,深圳,10:00,20:00,10,,5,未填写,未填写,未填写,可以早走,未填写,,未填写,工作天数,,,,否,总表
互联网,腾讯,10,腾讯,08:30:00,腾讯,79.1,良好,TEG-企业IT,技术/研发,产品,产品经理,深圳,深圳,10:00,20:30,10.5,5,5,14:00,13:00,否,05:30:00,需要周报,,未填写,,公司内部中后台产品，离业务比较远。做产品的话不宜久留。总监leader都很nice，团队氛围好。,,,否,总表
互联网,腾讯,10,腾讯,8：00-10：00,腾讯,79.1,良好,TEG-企业IT,技术/研发,后端,后端开发,深圳,深圳,10:00,20:00,10,5,5,12:00,17:30,是,否,周报,,未填写,,不卷，工资低，没技术，没前途，新人背星，劝退工单系统组，新任组长比较push，业务没前途,,,否,总表
互联网,腾讯,09:30:00,腾讯,,腾讯,79.1,良好,TEG企业it,技术/研发,后台,后端开发,深圳,深圳,09:30,,,5,5,12:00,18:00,否,否,未填写,,未填写,,run，能跑多快跑多快,,,否,总表
互联网,腾讯,10点左右,腾讯,大部分人8、9点，有事可早走,腾讯,79.1,良好,TEG腾讯计费,TEG腾讯计费,前端,前端开发,深圳,深圳,10:00,20:00,10,5,5,11:00,17:00,是，活动日,看情况,新人日报/所有人周报,,未填写,,氛围还不错,,,否,总表
互联网,腾讯,10:00:00,腾讯,19:00-20:00，看情况，没事一般不会留,腾讯,79.1,良好,TEG研发管理部,技术/研发,后台,后端开发,深圳,深圳,10:00,19:00,9,5,5,11:30,17:30,是，到点直接走,是,否，但每天开晨会约10min,,未填写,,项目较老，看作息就知道不卷，不pua，组内气氛较好,,,否,总表
互联网,腾讯,10:00:00,腾讯,22:00:00,腾讯,79.1,良好,TEG-云架平,TEG-云架平,后端,后端开发,深圳,深圳,10:00,22:00,12,5,5,12:00,17:30,否,稍微早一点 早的不多,周报 老员工更要写 9级以上经常汇报,,未填写,,周末有时候也要加班 无偿,,,否,总表
互联网,腾讯,10:00:00,腾讯,上海8：30 北京10：00,腾讯,79.1,良好,TEG-云架平-数据库研发中心,技术/研发,后端,后端开发,北京/上海,北京,10:00,20:30,10.5,,5,12:00,未填写,未填写,可早走,未填写,,未填写,工作天数,看组内业务，成熟业务较轻松，成长业务压力比较大但是容易出绩效，氛围不错,,,否,总表
互联网,腾讯,10:00:00,腾讯,09:30:00,腾讯,79.1,良好,TEG-AI平台-内容质量组,算法,算法,算法,北京,北京,10:00,21:30,11.5,5,5,12:00,18:00,否,否,需要日报/周报,,未填写,,组内氛围好，技术氛围一般,,,否,总表
互联网,腾讯,11点,腾讯,8点,腾讯,79.1,良好,WXG,WXG,产品,产品经理,北京,北京,11:00,20:00,9,5,5,12:00,18:00,否,一般吃完晚饭就可以走了,每周都有周会，但是周报很简洁,,未填写,,氛围不错，吃完午饭和晚饭后大家一般组团开黑,,,否,总表
互联网,腾讯,10:00:00,腾讯,22:00:00,腾讯,79.1,良好,WXG,WXG,后端,后端开发,深圳,深圳,10:00,22:00,12,5,5,12:00,17:30,否,可以早走,周报,,未填写,,卷，但氛围挺好，口口相传，不背星的话还不错,,,否,总表
互联网,腾讯,10:00:00,腾讯,8,腾讯,79.1,良好,腾讯安全云鼎实验室,风控/法务,网络安全,运维,深圳,深圳,10:00,20:00,10,5,5,14:00,18:00,否,是,周报,,未填写,,不卷 实验室事情少,,,否,总表
互联网,腾讯,10:00-10:30,腾讯,21:00-22:00,腾讯,79.1,良好,腾讯会议,腾讯会议,前端,前端开发,深圳,深圳,10:00,21:00,11,5,5,11:30,17:30,6点下班,有事可以早走,tl 要求有工作汇总,,未填写,,音视频相关前端 客户端 后端 都缺人，内推联系 zyw@,,,否,总表
互联网,腾讯,10-10:30,腾讯,9点以后,腾讯,79.1,良好,腾讯视频,腾讯视频,运营,运营,北京,北京,10:00,21:00,11,44322,5,不午休,13:00,否,否,未填写,,未填写,工作天数,活儿又多又杂 不要靠近运营会变得不幸 已走人,,,否,总表
互联网,腾讯,10点,腾讯,44386,腾讯,79.1,良好,腾讯云云产品二部,产品,后端,后端开发,深圳,深圳,10:00,,,5,5,11:00,17:00,否,随意,周报,,未填写,,,,,否,总表
互联网,腾讯,09:30:00,腾讯,09:00:00,腾讯,79.1,良好,天美工作室,天美工作室,后台开发,后端开发,深圳,深圳,09:30,21:00,11.5,5 或 6,5,12:00,18:00,是,否,周报,,未填写,,大小周，氛围不错,,,否,总表
互联网,腾讯,9点半-10点,腾讯,健康日六点 其余九点,腾讯,79.1,良好,天美游戏工作室,游戏,游戏客户端,客户端开发,深圳,深圳,09:00,,,,5,12:00,未填写,未填写,可以早走 群里说一声,未填写,,未填写,工作天数,氛围不错,,,否,总表
互联网,腾讯,10.3,腾讯,11,腾讯,79.1,良好,微信读书,微信读书,前端,前端开发,广州,广州,10:18,11:00,0.7,,5,未填写,未填写,未填写,未填写,未填写,,未填写,工作天数,快跑,,,否,总表
