城市,记录数,公司数,平均上班,平均下班,平均工时,平均评分
邯郸,2,1,07:37,18:45,11.1,60.8
郴州,2,1,08:00,12:00,4.0,100.0
鹏润大厦,2,1,09:30,21:00,11.5,54.4
需求分析,2,1,,,,
销售,2,1,09:00,20:00,11.0,56.3
镇江,2,2,08:45,20:15,11.5,58.6
福清,2,2,08:09,18:00,9.8,83.4
芜湖,2,2,08:15,17:00,8.8,89.0
绍兴,2,1,08:30,18:00,9.5,87.9
淮南,2,1,09:00,18:30,9.5,81.0
新加坡,2,1,09:00,18:00,9.0,92.4
技术岗位,2,1,07:20,18:00,10.7,57.0
海口,2,2,09:05,20:10,11.1,61.6
江阴,2,1,08:30,17:00,8.5,88.2
乌鲁木齐,2,2,10:15,20:00,9.8,74.5
二线,2,2,08:25,18:45,10.4,79.4
介休,2,1,08:00,09:00,1.0,100.0
全球,2,1,10:00,,,79.1
临沂,2,2,07:45,18:00,10.2,71.6
中国,2,2,09:09,17:39,8.5,97.1
不便透露,2,2,08:30,18:45,10.2,88.0
修改我的结果,2,1,,,,
全国都有分公司,2,1,08:24,13:15,9.7,87.1
岳阳,2,1,07:00,18:00,11.0,55.1
呼和浩特,2,2,09:00,18:00,9.0,92.4
出差,1,1,09:00,22:00,13.0,27.2
全国工地,1,1,07:20,18:30,11.2,51.6
全国不定点,1,1,08:00,22:00,14.0,39.4
其他,1,1,08:00,17:30,9.5,74.6
兰州,1,1,08:30,18:00,9.5,83.4
匿掉,1,1,08:30,17:30,9.0,88.8
北上深,1,1,09:00,18:00,9.0,88.5
北上杭,1,1,10:00,21:00,11.0,78.5
北上广深,1,1,09:30,18:00,8.5,88.5
前海人寿金融中心,1,1,09:30,18:00,8.5,96.8
包邮区,1,1,08:30,20:00,11.5,56.3
删除,1,1,,,,
出差不定,1,1,08:00,21:00,13.0,69.5
全国工厂,1,1,08:00,17:00,9.0,89.7
世界各地,1,1,11:00,,,
东北,1,1,08:18,19:30,11.2,87.5
东南沿海发达省份,1,1,00:00,00:00,,
东部省份,1,1,08:30,17:00,8.5,94.2
三号催化外操室,1,1,08:00,20:00,12.0,80.5
三线,1,1,08:00,17:00,9.0,89.7
一线,1,1,09:00,17:00,8.0,100.0
所有分中心,1,1,,,,88.4
恩施,1,1,09:00,18:00,9.0,86.4
总公司青岛,1,1,08:00,,,
总部,1,1,08:30,,,
德阳,1,1,08:00,,,80.5
建仓科技园,1,1,08:30,21:30,13.0,62.7
异地,1,1,07:30,18:00,10.5,58.2
张家港,1,1,09:00,21:00,12.0,45.5
广西梧州,1,1,07:30,23:00,15.5,6.5
广西钦州,1,1,08:50,18:00,9.2,84.7
山西吕梁,1,1,08:00,18:00,10.0,71.4
工地,1,1,08:00,17:00,9.0,83.7
常德,1,1,07:50,22:00,14.2,78.9
广东揭阳,1,1,08:40,18:00,9.3,89.6
广东河源,1,1,08:30,21:00,12.5,75.5
广东珠三角地区,1,1,08:10,18:00,9.8,88.4
山东兖州,1,1,08:00,18:00,10.0,77.4
尚演谷,1,1,10:00,22:00,12.0,46.8
宿迁,1,1,09:00,18:00,9.0,64.6
山东滨州,1,1,,,,
山西孝义,1,1,08:30,08:30,,
山西晋中介休,1,1,,,,
各地广场,1,1,09:00,18:00,9.0,89.7
即墨,1,1,08:00,16:30,8.5,100.0
大阪,1,1,08:40,17:30,8.8,92.7
多地,1,1,09:00,18:00,9.0,92.4
安定门外大街,1,1,09:00,18:18,9.3,90.8
安庆,1,1,09:00,,,
宜宾,1,1,08:30,17:30,9.0,91.0
宜昌,1,1,08:10,09:00,0.8,100.0
宝鸡,1,1,08:00,18:00,10.0,83.4
实体,1,1,,,,
吉安,1,1,08:30,22:00,13.5,28.7
哈哈哈哈,1,1,,,,
华东,1,1,08:30,17:30,9.0,91.0
南沙龙穴岛,1,1,08:15,19:00,10.8,61.5
下李朗靠近华为,1,1,08:00,09:00,1.0,100.0
不好说,1,1,08:30,17:30,9.0,91.0
不定,1,1,09:00,23:00,14.0,16.4
不能说,1,1,11:00,11:00,,70.4
三线城,1,1,10:00,16:00,6.0,81.0
上饶,1,1,07:00,08:00,1.0,100.0
九江,1,1,08:18,08:18,,
乐天云谷,1,1,08:45,17:15,8.5,93.8
会城,1,1,08:30,18:00,9.5,87.9
二三线城,1,1,09:00,18:00,9.0,81.0
义乌,1,1,09:00,18:00,9.0,86.4
丹麦哥本哈根,1,1,09:00,17:00,8.0,98.7
全国各地荒郊野外,1,1,07:00,23:00,16.0,60.8
全国各地,1,1,07:30,21:00,13.5,25.8
江西宜春,1,1,06:20,22:20,16.0,9.5
江苏沿海,1,1,08:00,17:00,9.0,83.7
江苏张家港,1,1,08:00,17:30,9.5,58.6
江苏淮安,1,1,07:35,16:45,9.2,97.4
江苏泰兴,1,1,07:30,17:30,10.0,77.4
昆山,1,1,08:00,20:30,12.5,40.4
某地级,1,1,08:00,08:00,,80.5
某一线城,1,1,09:00,09:00,,
新西兰奥克兰,1,1,09:00,17:00,8.0,98.7
新余,1,1,08:18,18:00,9.7,85.7
无固定场所,1,1,08:00,23:00,15.0,39.8
无固定,1,1,08:30,,,
政治,1,1,,18:00,,
拉萨,1,1,07:18,22:00,14.7,13.8
