公司_规范,集团,分类,记录数,原始名称数,城市数,城市,平均上班,平均下班,平均工时,评分,等级,备注数
蚂蚁集团,阿里巴巴,互联网,32,4,5,上海、杭州、北京、深圳、成都,09:49,18:55,10.4,75.5,良好,13
海康威视,海康威视,互联网,30,6,7,杭州、武汉、东北、北京、南宁、桐庐、天津,08:55,17:11,9.3,87.5,舒适,11
微软,微软,互联网,28,2,3,苏州、上海、北京,09:45,18:06,8.4,99.4,舒适,19
携程,携程,互联网,27,2,3,上海、北京、石家庄,09:58,19:50,10.8,70.2,良好,14
联想,联想,互联网,27,4,6,成都、北京、深圳、上海、天津、合肥,09:19,18:12,8.9,95.6,舒适,14
奇安信,奇安信,互联网,24,1,11,二三线城、北京、武汉、深圳、广州、成都、沈阳、重庆、二线、三线城、上海,08:55,18:53,10.0,81.0,良好,12
58同城,58同城,互联网,24,2,2,北京、广州,10:20,19:27,9.5,83.7,良好,9
奇虎360,奇虎360,互联网,23,1,3,北京、深圳、上海,09:28,19:02,9.6,85.7,舒适,7
中国电信,中国电信,互联网,23,15,8,广州、北京、福州、深圳、上海、西安、郑州,08:29,17:26,8.9,90.3,舒适,11
完美世界,完美世界,互联网,22,2,3,北京、上海、成都,09:49,19:38,9.8,76.8,良好,14
OPPO,OPPO,互联网,21,1,4,深圳、成都、南京、上海,09:08,18:02,8.9,87.8,舒适,9
vivo,vivo,互联网,21,1,5,北京、南京、杭州、深圳、东莞,09:13,19:11,12.4,58.4,一般,10
恒生电子,恒生电子,互联网,21,5,5,杭州、上海、北上深、北上广深、香港,08:48,17:42,8.9,88.5,舒适,11
匿名公司,匿名公司,互联网,20,12,10,深圳、广州、杭州、上海、济南、长沙、南京、北京、成都,07:11,15:05,9.5,82.8,良好,8
中国航空,中国航空,其他,19,13,11,天津、上海、厦门、南昌、北京、南京、成都、香港、西安、重庆,08:23,17:20,9.0,89.1,舒适,9
虾皮,虾皮,互联网,17,1,3,海外、上海、深圳,10:00,19:18,9.3,86.4,舒适,9
科大讯飞,科大讯飞,互联网,17,3,4,合肥、北京、杭州、武汉,08:57,15:32,10.2,80.1,良好,10
中国联通,中国联通,互联网,16,10,8,哈尔滨、广州、粤东、济南、深圳、长乐、福州、北京,08:46,17:46,9.0,90.4,舒适,12
中兴,中兴,互联网,16,5,5,南京、深圳、武汉、长沙、西安,08:25,16:49,9.6,82.0,良好,9
拼多多,拼多多,互联网,15,1,2,上海、不能说,10:42,19:17,10.0,70.4,良好,8
同花顺,同花顺,互联网,15,1,1,杭州,09:01,14:56,7.9,91.0,舒适,7
三七互娱,三七互娱,互联网,14,1,2,广州、成都,11:12,17:37,10.6,75.3,良好,6
大华股份,大华股份,其他,14,9,6,杭州、济南、广州、珠海、上海、南京,08:32,16:43,8.9,86.8,舒适,10
好未来,好未来,互联网,14,1,1,北京,09:57,20:01,10.1,74.9,良好,6
国家电网,国家电网,其他,14,10,8,广州、北京、福州、省会、长沙、广东河源、南宁,08:23,16:49,10.7,75.5,良好,9
知乎,知乎,互联网,14,1,2,北京、上海,09:47,17:34,9.5,92.7,舒适,1
微博,微博,互联网,14,4,2,北京、杭州,09:35,17:45,8.8,93.3,舒适,5
货拉拉,货拉拉,互联网,13,1,4,深圳、上海、北京、广州,09:08,19:00,9.9,76.8,良好,6
搜狐,搜狐,互联网,13,2,2,北京、成都,09:15,18:49,9.6,82.7,良好,4
有赞,有赞,互联网,12,1,3,武汉、杭州、深圳,09:24,18:02,9.4,84.9,良好,6
酷家乐,酷家乐,互联网,12,1,3,杭州、上海、成都,09:38,18:10,10.2,79.3,良好,9
深信服,深信服,互联网,11,2,3,深圳、上海、长沙,08:54,18:16,10.3,74.3,良好,4
松果出行,松果出行,互联网,11,1,1,北京,10:00,16:10,11.3,67.1,一般,5
浩鲸科技,浩鲸科技,互联网,11,1,6,郑州、福州、广州、南京、北京、上海,09:02,18:21,9.3,87.4,舒适,4
中国石化,中国石化,其他,11,8,8,炼油三部、三号催化外操室、广州、青岛、上海、北京、某地级、德阳,07:58,16:53,9.9,80.5,良好,4
唯品会,唯品会,互联网,10,1,2,广州、上海,09:19,19:16,9.9,78.1,良好,5
多益网络,多益网络,互联网,10,1,2,广州、成都,08:51,18:36,10.8,61.8,一般,3
商汤科技,商汤科技,互联网,10,2,3,上海、北京、深圳,09:49,17:52,11.6,71.9,良好,5
得物,得物,互联网,10,1,1,上海,09:42,20:06,10.4,67.3,一般,4
小鹏汽车,小鹏汽车,互联网,10,2,1,广州,09:00,16:00,8.8,90.3,舒适,5
宁德时代,宁德时代,其他,10,3,2,宁德、福建宁德,08:09,18:57,10.8,60.1,一般,5
中国农业银行,中国农业银行,金融,10,1,5,郑州新密、北京、上海、河池,08:36,19:27,10.8,62.3,一般,3
涂鸦智能,涂鸦智能,互联网,10,1,2,杭州、深圳,09:31,17:12,8.5,85.7,舒适,5
浪潮,浪潮,互联网,10,2,2,济南、西安,08:33,18:51,10.3,71.7,良好,3
杭州昼光科技,杭州昼光科技,互联网,10,2,1,杭州,09:54,18:39,8.8,92.4,舒适,3
视源股份,视源股份,互联网,10,3,1,广州,08:56,20:12,12.5,46.8,偏卷,8
龙湖集团,龙湖集团,其他,9,4,4,北京、上海、天津、重庆,09:03,18:30,9.4,76.8,良好,3
汽车之家,汽车之家,互联网,9,1,1,北京,08:55,18:42,9.8,82.1,良好,0
IBM,IBM,互联网,9,1,7,海外、深圳、西安、上海、大连、北京、成都,09:08,17:43,8.6,94.0,舒适,7
海尔,海尔,其他,9,6,2,青岛、北京,09:03,18:15,9.2,86.8,舒适,5
