公司_规范,集团,分类,记录数,原始名称数,城市数,城市,平均上班,平均下班,平均工时,评分,等级,备注数
广州农商银行,广州农商银行,金融,2,1,1,广州,08:30,20:30,12.0,50.9,偏卷,2
广州博依特智能信息技术,广州博依特智能信息技术,互联网,2,1,1,广州,09:00,18:30,9.5,87.0,舒适,2
广州嘉为科技,广州嘉为科技,互联网,2,1,1,上海,09:00,18:00,9.0,86.4,舒适,0
中通快递,中通快递,其他,2,1,2,泉州、上海,08:07,17:45,9.0,84.0,良好,1
中通服创立信息科技,中通服创立信息科技,互联网,2,1,1,成都,09:00,21:00,12.0,44.0,偏卷,0
广州趣丸网络科技,广州趣丸网络科技,互联网,2,1,1,广州,09:00,18:30,9.5,87.0,舒适,0
广州银凌工艺品,广州银凌工艺品,其他,2,1,1,广州,09:00,17:30,8.5,95.5,舒适,2
广州零纪元,广州零纪元,互联网,2,1,1,广州,10:30,22:00,11.5,44.0,偏卷,0
广电运通金融电子科技,广电运通金融电子科技,互联网,2,1,1,广州,08:00,17:00,9.0,89.7,舒适,2
广西桂通科技,广西桂通科技,其他,2,1,1,柳州,09:00,18:00,9.0,86.4,舒适,2
广州海格通信,广州海格通信,互联网,2,1,1,广州,08:15,17:30,9.2,89.1,舒适,0
广州点盛,广州点盛,互联网,2,1,1,广州,09:00,18:00,9.0,92.4,舒适,2
广州点触,广州点触,互联网,2,1,1,广州,09:30,18:30,9.0,91.4,舒适,2
广州瘦吧科技,广州瘦吧科技,互联网,2,1,1,广州,10:00,21:00,11.0,57.6,一般,0
乐曼多,乐曼多,其他,2,1,1,成都,09:00,19:00,10.0,77.1,良好,2
荏原机械淄博,荏原机械淄博,外企,2,1,1,,08:30,17:00,8.5,94.2,舒适,0
Veeva(维我科技),Veeva(维我科技),互联网,2,1,1,北京,10:00,18:09,8.2,98.4,舒适,2
Versetech,Versetech,互联网,2,1,1,上海,10:30,20:30,10.0,76.2,良好,2
Vibe Inc,Vibe Inc,互联网,2,1,1,杭州,10:00,18:30,8.5,94.6,舒适,2
乐相科技,乐相科技,互联网,2,1,1,上海,09:00,18:00,9.0,87.9,舒适,0
中铁十二局,中铁十二局,其他,2,1,1,,05:30,18:00,12.5,45.7,偏卷,2
中铁十四局集团大盾构工程,中铁十四局集团大盾构工程,其他,2,1,1,技术岗位,07:20,18:00,10.7,57.0,一般,2
中铁建工,中铁建工,其他,2,2,1,北京,07:45,19:30,11.8,47.6,偏卷,2
广州蓝深科技,广州蓝深科技,互联网,2,1,1,广州,09:00,17:30,8.5,95.5,舒适,0
广州蝴蝶效应,广州蝴蝶效应,互联网,2,1,1,广州,09:00,21:00,12.0,50.0,偏卷,0
广州触点互联网科技,广州触点互联网科技,互联网,2,1,1,广州,09:00,09:00,,,数据不足,2
广州市辰辰妈电子商务,广州市辰辰妈电子商务,其他,2,1,1,广州,12:00,21:00,9.0,74.2,良好,0
广州库洛科技,广州库洛科技,互联网,2,1,1,广州,09:30,18:30,9.0,91.4,舒适,0
广州思迈特软件,广州思迈特软件,互联网,2,1,1,广州,09:00,18:00,9.0,92.4,舒适,0
广州指云网络,广州指云网络,互联网,2,1,1,广州,09:00,18:30,9.5,82.5,良好,2
广州易尊网络科技,广州易尊网络科技,互联网,2,1,1,广州,09:00,20:00,11.0,56.3,一般,2
广州城市信息研究所,广州城市信息研究所,互联网,2,1,1,广州,09:00,18:00,9.0,92.4,舒适,2
广州宏天软件,广州宏天软件,互联网,2,1,1,广州,09:00,18:30,9.5,87.0,舒适,2
广东省出版集团数字出版,广东省出版集团数字出版,互联网,2,1,1,广州,09:00,18:00,9.0,92.4,舒适,0
广东道一信息技术股份有限公司/道一云,广东道一信息技术股份有限公司/道一云,互联网,2,1,1,广州,09:00,18:30,9.5,87.0,舒适,2
广东金域医学,广东金域医学,其他,2,1,1,广州,08:30,18:00,9.5,87.9,舒适,0
广东飞企互联科技,广东飞企互联科技,互联网,2,1,1,珠海,09:00,18:00,9.0,92.4,舒适,2
广发银行,广发银行,互联网,2,1,2,广州、佛山,08:45,18:45,10.0,76.0,良好,2
五菱汽车,五菱汽车,其他,2,1,1,柳州,08:30,14:00,5.5,100.0,舒适,0
TE,TE,外企,2,1,1,青岛,08:30,17:00,8.5,94.2,舒适,2
SHEIIN,SHEIIN,其他,2,1,1,广州,10:00,18:00,8.0,100.0,舒适,0
SHEIN,SHEIN,互联网,2,1,2,广州、深圳,10:00,17:30,7.5,100.0,舒适,0
SW,SW,其他,2,1,2,北京、上海,09:00,22:00,13.0,42.2,偏卷,1
Sap,Sap,互联网,2,1,1,上海,10:00,18:00,8.0,100.0,舒适,2
蔚领时代云游戏,蔚领时代云游戏,互联网,2,1,1,北京,10:00,19:00,9.0,89.2,舒适,2
英荔教育,英荔教育,其他,2,1,1,广州,08:00,17:00,9.0,89.7,舒适,0
苹果,苹果,互联网,2,2,2,北京、成都,10:30,19:30,9.0,81.0,良好,0
亚信安全,亚信安全,互联网,2,1,1,南京,09:00,18:00,9.0,92.4,舒适,1
九号公司,九号公司,互联网,2,1,1,北京,09:00,20:00,11.0,60.8,一般,0
九恒星,九恒星,互联网,2,1,1,深圳,09:00,18:00,9.0,92.4,舒适,2
书生科技（叫叫）,书生科技（叫叫）,互联网,2,1,1,成都,09:30,21:00,11.5,50.0,偏卷,0
云丁网络（鹿客）,云丁网络（鹿客）,互联网,2,1,1,深圳,10:00,20:00,10.0,78.4,良好,0
广州9130游戏,广州9130游戏,互联网,2,1,1,广州,09:00,21:00,12.0,50.0,偏卷,2
广州乐牛,广州乐牛,互联网,2,1,1,广州,09:00,20:00,11.0,54.8,偏卷,0
广东中视信息科技,广东中视信息科技,互联网,2,1,1,杭州,09:00,18:00,9.0,92.4,舒适,0
广东人啊人网络技术开发,广东人啊人网络技术开发,互联网,2,1,1,东莞,08:30,18:00,9.5,83.4,良好,2
广东格兰仕,广东格兰仕,其他,2,1,1,佛山,08:00,19:00,11.0,59.6,一般,2
广东省中医院,广东省中医院,其他,2,1,1,广州,08:00,15:30,7.5,96.2,舒适,0
巴乐兔,巴乐兔,互联网,2,1,2,深圳、上海,09:09,18:39,9.5,83.7,良好,0
市场研究,市场研究,外企,2,1,1,广州,10:00,18:30,8.5,94.6,舒适,2
临研通（天津）科技,临研通（天津）科技,互联网,2,1,1,郑州,08:50,18:00,9.2,90.7,舒适,2
久远银海,久远银海,互联网,2,1,1,成都,09:00,18:00,9.0,92.4,舒适,1
之江实验室,之江实验室,其他,2,1,1,杭州,08:39,17:24,8.8,93.0,舒适,0
山东土地数字科技,山东土地数字科技,互联网,2,1,1,济南,08:09,19:30,11.4,58.5,一般,2
人本集团杭州人本控制系统,人本集团杭州人本控制系统,互联网,2,1,1,杭州,07:45,17:00,9.2,82.4,良好,2
京北方信息技术,京北方信息技术,互联网,2,1,1,北京,08:30,17:30,9.0,91.0,舒适,0
人人视频,人人视频,互联网,2,1,1,上海,09:00,18:00,9.0,95.4,舒适,2
云和恩墨信息技术,云和恩墨信息技术,互联网,2,1,1,北京,09:00,18:00,9.0,92.4,舒适,2
云智慧,云智慧,互联网,2,1,1,燕郊,09:30,12:00,2.5,100.0,舒适,2
云润大数据服务,云润大数据服务,互联网,2,1,1,广州,09:00,18:00,9.0,92.4,舒适,2
云罗互动,云罗互动,互联网,2,1,1,郑州,09:00,18:30,9.5,81.0,良好,0
幻方量化,幻方量化,互联网,2,1,1,杭州,09:00,17:30,8.5,95.5,舒适,2
幻萌,幻萌,互联网,2,1,1,上海,10:00,21:00,11.0,54.6,偏卷,0
山东港通资讯管理,山东港通资讯管理,互联网,2,1,1,烟台,07:50,,,,数据不足,2
山东远桥信息科技,山东远桥信息科技,其他,2,1,1,济南,08:30,20:00,11.5,50.3,偏卷,0
山东鲁能软件,山东鲁能软件,互联网,2,1,1,济南,08:30,17:15,8.8,92.3,舒适,0
山大地纬软件,山大地纬软件,互联网,2,1,1,绍兴,08:30,18:00,9.5,87.9,舒适,2
企知道网络技术,企知道网络技术,互联网,2,1,1,深圳,09:00,21:00,12.0,44.0,偏卷,2
伊利,伊利,其他,2,1,2,北京、南京,08:30,17:15,8.8,92.6,舒适,2
Authing,Authing,互联网,2,1,1,北京,10:00,20:00,10.0,81.4,良好,2
AutoCore,AutoCore,其他,2,1,1,南京,09:00,18:00,9.0,92.4,舒适,0
山东万里红,山东万里红,互联网,2,1,1,济南,09:00,18:00,9.0,92.4,舒适,0
山东云创数字科技有限公司/深圳华信控股科技,山东云创数字科技有限公司/深圳华信控股科技,互联网,2,1,1,济南,08:45,18:00,9.2,90.4,舒适,2
山东五思信息科技,山东五思信息科技,互联网,2,1,1,济南,08:00,20:00,12.0,45.8,偏卷,0
Philips,Philips,外企,2,1,2,苏州、深圳,08:30,17:15,8.8,92.6,舒适,1
Ping++（简米）,Ping++（简米）,互联网,2,1,1,上海,09:00,18:30,9.5,87.0,舒适,2
PwC,PwC,外企,2,1,1,上海,10:00,20:45,10.8,61.3,一般,1
西安萌叶网络科技,西安萌叶网络科技,互联网,2,1,1,西安,07:00,16:00,9.0,89.7,舒适,2
西安葡萄城,西安葡萄城,互联网,2,1,1,西安,08:00,17:00,9.0,89.7,舒适,0
蒙牛,蒙牛,其他,2,1,2,株洲、北京,08:45,17:15,8.5,93.4,舒适,0
蒲公英开发者服务,蒲公英开发者服务,互联网,2,1,1,西安,09:30,18:30,9.0,91.4,舒适,0
蓝凌,蓝凌,互联网,2,1,1,深圳,09:00,18:00,9.0,92.4,舒适,2
蓝月亮,蓝月亮,互联网,2,1,1,广州,08:30,17:30,9.0,91.0,舒适,1
蓝深远望科技,蓝深远望科技,互联网,2,1,1,无锡,08:30,17:30,9.0,85.0,舒适,0
Onchain,Onchain,互联网,2,1,1,上海,10:00,18:30,8.5,94.6,舒适,2
小硕数据科技,小硕数据科技,互联网,2,1,1,上海,09:00,18:30,9.5,87.0,舒适,0
富士康,富士康,其他,2,1,1,深圳,08:00,17:30,9.5,86.6,舒适,2
富途,富途,互联网,2,1,1,深圳,09:30,20:15,10.8,69.6,一般,1
富通天下,富通天下,互联网,2,1,1,杭州,09:00,19:30,10.5,70.2,良好,1
众安,众安,互联网,2,1,1,上海,09:45,18:18,8.3,96.8,舒适,0
亚信科技（南京）,亚信科技（南京）,互联网,2,1,1,南京,09:00,21:30,12.5,38.6,很卷,2
亚鸿世纪,亚鸿世纪,互联网,2,1,1,北京,09:09,18:00,8.8,93.7,舒适,0
交通银行信用卡中心,交通银行信用卡中心,金融,2,1,1,上海,08:50,18:00,9.2,90.7,舒适,2
享道出行,享道出行,互联网,2,1,1,上海,09:30,20:00,10.5,65.2,一般,0
京东健康,京东,互联网,2,1,1,北京,09:00,14:00,10.0,86.1,舒适,2
阿卡索,阿卡索,互联网,2,1,1,深圳,10:00,19:00,9.0,89.2,舒适,0
银联商务,银联商务,互联网,2,1,2,上海、匿掉,08:15,17:30,9.2,88.8,舒适,2
锦江酒店,锦江酒店,互联网,2,1,1,广州,11:00,15:00,4.0,100.0,舒适,2
Cider,Cider,互联网,2,1,2,北京、广州,10:00,15:00,5.0,100.0,舒适,1
Cisco,Cisco,互联网,2,1,2,深圳、上海,09:00,17:30,8.5,95.5,舒适,0
Anker,Anker,互联网,2,1,1,深圳,09:45,18:30,8.8,93.0,舒适,1
裕明智控,裕明智控,其他,2,1,1,广州,09:00,18:00,9.0,92.4,舒适,0
Senko,Senko,外企,2,1,1,深圳,09:00,18:00,9.0,92.4,舒适,2
Shopee,Shopee,互联网,2,1,1,深圳,10:05,20:15,10.2,70.3,良好,1
Shopify,Shopify,互联网,2,1,1,深圳,09:00,17:00,8.0,98.7,舒适,0
Skyscanner,Skyscanner,互联网,2,1,1,深圳,10:30,18:00,7.5,100.0,舒适,2
MicroStrategy,MicroStrategy,互联网,2,1,1,杭州,10:00,18:00,8.0,100.0,舒适,2
轩辕传媒,轩辕传媒,互联网,2,1,1,北京,09:09,18:00,8.8,89.2,舒适,0
安永华明会计师事务所,安永华明会计师事务所,其他,2,1,1,北京,09:45,16:30,6.8,92.9,舒适,0
安迈云,安迈云,互联网,2,1,1,成都,09:00,18:00,9.0,92.4,舒适,2
完美时空,完美时空,互联网,2,1,1,上海,09:30,18:30,9.0,91.4,舒适,0
安天,安天,互联网,2,1,1,成都,09:00,17:30,8.5,95.5,舒适,2
值得买科技,值得买科技,互联网,2,2,1,北京,09:30,18:45,9.2,88.8,舒适,2
什么值得买,什么值得买,互联网,2,1,1,北京,09:30,19:30,10.0,80.6,良好,1
山东淄博小公司,山东淄博小公司,互联网,2,1,1,淄博,08:00,17:30,9.5,80.6,良好,0
小猪,小猪,互联网,2,1,1,北京,09:30,19:00,9.5,86.1,舒适,0
小电科技,小电科技,互联网,2,1,1,杭州,09:30,18:30,9.0,91.4,舒适,0
宇视科技,宇视科技,互联网,2,1,1,杭州,08:24,19:30,11.1,64.8,一般,2
好络维,好络维,互联网,2,1,1,杭州,08:00,17:00,9.0,89.7,舒适,2
威卓智能机器人,威卓智能机器人,其他,2,1,1,无锡,08:30,17:45,9.2,83.8,良好,0
对啊网,对啊网,互联网,2,1,1,北京,10:00,19:00,9.0,89.2,舒适,2
小天才,小天才,其他,2,1,1,东莞,08:00,21:00,13.0,36.5,很卷,0
宜信,宜信,互联网,2,1,1,北京,09:30,18:30,9.0,91.4,舒适,0
宝宝巴士,宝宝巴士,互联网,2,1,1,福州,08:30,18:00,9.5,87.9,舒适,1
宝洁,宝洁,其他,2,1,1,广州,10:07,20:15,10.1,73.6,良好,1
实习僧,实习僧,互联网,2,1,1,成都,09:00,18:00,9.0,92.4,舒适,0
安永EY,安永EY,外企,2,1,1,上海,09:15,14:00,9.5,89.9,舒适,0
西门子,西门子,外企,2,2,2,南京、北京,08:30,17:30,9.0,91.0,舒适,1
要出发周边游,要出发周边游,互联网,2,1,1,广州,09:00,18:00,9.0,92.4,舒适,2
触宝,触宝,互联网,2,1,1,上海,10:00,18:00,8.0,100.0,舒适,0
设计院,设计院,其他,2,1,1,南京,08:30,18:00,9.5,81.9,良好,2
蜻蜓FM,蜻蜓FM,互联网,2,1,1,上海,09:00,20:00,11.0,60.8,一般,2
街电科技,街电科技,互联网,2,1,1,成都,09:00,20:00,11.0,60.8,一般,2
迈迪信息技术,迈迪信息技术,互联网,2,1,1,济南,08:30,17:30,9.0,91.0,舒适,2
途游游戏,途游游戏,互联网,2,1,1,北京,09:30,18:30,9.0,87.0,舒适,2
倍业科技,倍业科技,互联网,2,1,1,上海,10:00,19:00,9.0,89.2,舒适,0
学而思,学而思,互联网,2,1,2,广州、北京,13:15,20:15,7.0,90.2,舒适,2
奔驰,奔驰,外企,2,1,1,北京,09:00,18:00,9.0,92.4,舒适,0
兰剑物流,兰剑物流,互联网,2,1,1,济南,08:09,17:09,9.0,90.1,舒适,0
兴业数字金融,兴业数字金融,金融,2,1,1,上海,09:00,17:00,8.0,98.7,舒适,2
光大激光,光大激光,其他,2,1,1,深圳,08:30,17:30,9.0,88.0,舒适,2
傲世堂,傲世堂,互联网,2,1,1,上海,10:00,18:30,8.5,88.6,舒适,0
传化,传化,其他,2,2,1,杭州,08:15,17:45,9.5,87.2,舒适,0
传易互联（深圳）科技有限公司杭州,传易互联（深圳）科技有限公司杭州,互联网,2,1,1,杭州,09:30,22:00,12.5,43.7,偏卷,2
安徽朝阳房产,安徽朝阳房产,其他,2,1,1,淮南,09:00,18:30,9.5,81.0,良好,0
学而思网校,学而思网校,互联网,2,1,2,济南、北京,05:45,15:00,9.2,88.1,舒适,1
宁波遨森电子商务,宁波遨森电子商务,其他,2,1,1,宁波,08:00,20:00,12.0,45.8,偏卷,2
宁波黑米,宁波黑米,互联网,2,1,1,宁波,08:30,17:30,9.0,91.0,舒适,0
宇动源,宇动源,互联网,2,1,1,北京,09:00,18:00,9.0,92.4,舒适,2
天津布尔科技,天津布尔科技,互联网,2,1,1,天津,09:00,18:00,9.0,92.4,舒适,0
天津德力仪器,天津德力仪器,互联网,2,1,1,天津,08:20,17:10,8.8,91.8,舒适,2
大汉软件南宁,大汉软件南宁,互联网,2,1,1,南宁,09:00,18:00,9.0,92.4,舒适,0
大连万达,大连万达,其他,2,1,1,北京,08:00,08:09,0.3,100.0,舒适,2
八羽马财商科技（北京）,八羽马财商科技（北京）,其他,2,1,1,北京,09:09,19:00,9.8,82.9,良好,0
佳都科技,佳都科技,互联网,2,1,1,广州,09:00,18:00,9.0,92.4,舒适,2
修改我的结果,修改我的结果,互联网,2,1,1,修改我的结果,,,,,数据不足,0
财联社,财联社,互联网,2,1,1,上海,09:00,18:00,9.0,92.4,舒适,2
超桌网络,超桌网络,互联网,2,1,1,深圳,09:00,18:30,9.5,87.0,舒适,2
诗悦网络,诗悦网络,互联网,2,1,1,广州,09:00,14:30,11.0,69.8,一般,0
诺基亚,诺基亚,互联网,2,1,1,杭州,09:00,18:00,9.0,92.4,舒适,1
谊品生鲜,谊品生鲜,互联网,2,1,1,合肥,09:30,18:30,9.0,91.4,舒适,0
豆子公司,豆子公司,互联网,2,1,1,天津,,,,,数据不足,2
Razer中国,Razer中国,互联网,2,1,1,深圳,09:00,18:00,9.0,92.4,舒适,2
LINE China,LINE China,互联网,2,1,1,大连,08:00,17:00,9.0,89.7,舒适,0
LOHO眼镜,LOHO眼镜,其他,2,1,1,深圳,09:10,19:30,10.3,61.9,一般,2
公共资源交易中心,公共资源交易中心,其他,2,1,1,,08:30,17:30,9.0,94.0,舒适,0
六一教育,六一教育,其他,2,1,1,广州,09:00,18:00,9.0,92.4,舒适,2
大公国际,大公国际,互联网,2,1,1,北京,08:30,17:30,9.0,91.0,舒适,0
大参林医药,大参林医药,其他,2,1,1,广州,08:00,18:00,10.0,83.4,良好,2
壹沓科技(上海),壹沓科技(上海),互联网,2,1,1,上海,09:30,21:00,11.5,50.0,偏卷,0
复杂美,复杂美,互联网,2,1,1,杭州,09:00,18:00,9.0,92.4,舒适,0
夏致云计算(上海),夏致云计算(上海),互联网,2,1,1,上海,10:00,19:00,9.0,89.2,舒适,2
农业银行一级分行,农业银行一级分行,互联网,2,1,1,上海,08:30,20:30,12.0,50.9,偏卷,2
凉屋游戏,凉屋游戏,互联网,2,1,1,深圳,10:00,18:30,8.5,94.6,舒适,0
奥美广告,奥美广告,互联网,2,1,1,北京,11:15,19:30,8.0,96.2,舒适,1
天融信,天融信,互联网,2,1,1,北京,09:30,18:00,8.5,96.8,舒适,2
天风证券,天风证券,金融,2,1,2,上海、武汉,08:45,19:00,10.2,73.3,良好,1
太平洋房屋,太平洋房屋,互联网,2,1,1,上海,09:00,18:00,9.0,92.4,舒适,0
太平洋财产保险,太平洋财产保险,金融,2,1,2,宁波,08:30,18:00,9.5,78.9,良好,2
天地伟业,天地伟业,互联网,2,1,1,天津,08:50,18:00,9.2,84.7,良好,2
天津中力防雷,天津中力防雷,互联网,2,1,1,天津,08:00,22:00,14.0,24.2,很卷,0
HZGYT,HZGYT,互联网,2,1,1,杭州,09:00,18:00,9.0,89.4,舒适,0
IQVIA,IQVIA,外企,2,1,1,上海,10:00,18:30,8.5,91.6,舒适,0
埃森哲/Accenture,埃森哲/Accenture,互联网,2,1,1,大连,09:00,18:50,9.8,83.6,良好,0
墨墨教育科技,墨墨教育科技,互联网,2,1,1,清远,09:00,18:00,9.0,86.4,舒适,2
墨墨背单词,墨墨背单词,互联网,2,1,1,清远,09:00,18:00,9.0,92.4,舒适,0
墨迹天气,墨迹天气,互联网,2,1,1,北京,09:30,18:30,9.0,91.4,舒适,1
国美-安迅物流,国美-安迅物流,互联网,2,1,1,鹏润大厦,09:30,21:00,11.5,54.4,偏卷,0
国金证券,国金证券,金融,2,1,1,上海,09:15,17:15,8.0,99.3,舒适,1
国防科技创新研究院,国防科技创新研究院,其他,2,1,1,北京,08:00,22:00,14.0,24.2,很卷,2
图书批发行业,图书批发行业,其他,2,1,1,长沙,09:00,17:30,8.5,95.5,舒适,2
土巴兔,土巴兔,互联网,2,1,1,深圳,09:15,15:00,11.5,67.3,一般,1
北京信软同创科技,北京信软同创科技,互联网,2,1,1,北京,09:09,18:09,9.0,92.1,舒适,2
创智和宇,创智和宇,互联网,2,1,1,长沙,08:15,13:15,5.0,100.0,舒适,1
创狗科技,创狗科技,互联网,2,1,1,上海,10:00,18:00,8.0,100.0,舒适,0
创鑫激光,创鑫激光,其他,2,1,1,深圳,08:30,18:00,9.5,87.9,舒适,0
八马茶业,八马茶业,其他,2,1,1,深圳,09:00,18:00,9.0,92.4,舒适,2
国泰基金,国泰基金,金融,2,1,1,上海,08:30,16:00,7.5,91.5,舒适,2
国泰新点辽宁,国泰新点辽宁,互联网,2,1,1,沈阳,08:30,18:30,10.0,78.0,良好,2
四川竹子科技,四川竹子科技,互联网,2,1,1,成都,09:30,18:30,9.0,91.4,舒适,2
四川西盾科技,四川西盾科技,互联网,2,1,1,成都,09:00,,,,数据不足,0
北京嘉业恒达科技,北京嘉业恒达科技,其他,2,1,1,北京,09:00,18:00,9.0,92.4,舒适,2
北京大学第一医院,北京大学第一医院,其他,2,1,1,北京,08:00,17:00,9.0,89.7,舒适,0
国信优易数据,国信优易数据,互联网,2,1,1,北京,10:00,21:00,11.0,57.6,一般,2
地产广告公司,地产广告公司,其他,2,1,1,福州,09:00,18:00,9.0,92.4,舒适,0
达观数据,达观数据,互联网,2,1,1,上海,09:39,19:24,9.8,76.7,良好,1
迈尔泰木业,迈尔泰木业,其他,2,1,1,,06:30,19:00,12.5,41.2,偏卷,0
跟谁学,跟谁学,互联网,2,1,1,长沙,09:00,11:00,2.0,100.0,舒适,2
车好多,车好多,互联网,2,1,1,北京,10:00,19:00,9.0,89.2,舒适,0
Panasonic,Panasonic,互联网,2,1,1,北京,08:00,16:52,8.9,90.3,舒适,0
Lotusflare,Lotusflare,互联网,2,1,1,西安,09:00,18:00,9.0,92.4,舒适,0
HIEC(杭博）,HIEC(杭博）,其他,2,1,1,杭州,08:00,17:30,9.5,86.6,舒适,2
HPE,HPE,互联网,2,1,2,重庆、北京,09:30,17:30,8.0,100.0,舒适,2
吉林省中顺网络科技有限公司广州,吉林省中顺网络科技有限公司广州,互联网,2,1,1,广州,09:00,20:30,11.5,55.4,一般,0
同济大学建筑设计院,同济大学建筑设计院,其他,2,1,1,上海,09:30,16:15,13.5,46.4,偏卷,1
北京智象信息技术,北京智象信息技术,互联网,2,1,2,北京、福州,09:00,19:15,10.2,72.9,良好,0
国信证券,国信证券,金融,2,1,2,深圳、珠海,08:45,14:30,5.8,100.0,舒适,1
四川汇源光通信,四川汇源光通信,其他,2,1,1,成都,08:30,20:00,11.5,51.8,偏卷,2
四川省糖业酒类,四川省糖业酒类,互联网,2,1,1,成都,09:00,18:00,9.0,86.4,舒适,2
哈啰,哈啰,互联网,2,1,1,上海,10:00,20:00,10.0,78.4,良好,2
唐山千家房地产经纪,唐山千家房地产经纪,互联网,2,1,1,唐山,08:30,19:00,10.5,61.1,一般,2
善诊,善诊,互联网,2,1,1,上海,09:00,19:30,10.5,70.2,良好,0
名创优品,名创优品,其他,2,1,1,广州,09:15,14:00,4.8,100.0,舒适,1
向学教育,向学教育,其他,2,1,1,杭州,09:00,18:00,9.0,92.4,舒适,2
北京帆锐科技有限公司原名北京达利本斯科技,北京帆锐科技有限公司原名北京达利本斯科技,互联网,2,1,1,北京,09:00,20:00,11.0,54.8,偏卷,2
圣本网络,圣本网络,互联网,2,1,1,广州,09:00,18:00,9.0,92.4,舒适,0
圣马可（珠海）实业,圣马可（珠海）实业,外企,2,1,1,珠海,08:30,17:30,9.0,91.0,舒适,0
国开金融,国开金融,金融,2,1,1,北京,08:24,17:24,9.0,90.8,舒适,1
国新数据,国新数据,其他,2,1,1,北京,08:30,20:30,12.0,50.9,偏卷,2
金数据,金数据,互联网,2,1,1,西安,09:30,18:30,9.0,91.4,舒适,2
金智视讯,金智视讯,互联网,2,1,1,南京,08:00,17:09,9.2,88.8,舒适,0
金柚网,金柚网,互联网,2,1,1,杭州,09:00,18:00,9.0,92.4,舒适,2
JG,JG,互联网,2,1,1,佛山,08:30,,,,数据不足,0
FreeWheel,FreeWheel,互联网,2,1,1,北京,09:45,18:15,8.5,95.7,舒适,1
厦门美亚柏科,厦门美亚柏科,互联网,2,1,1,厦门,09:00,20:00,11.0,60.8,一般,2
北京猫眼文化传媒,北京猫眼文化传媒,互联网,2,1,1,北京,10:30,19:30,9.0,87.0,舒适,2
北京彩智科技,北京彩智科技,其他,2,1,1,北京,,06:00,,,数据不足,2
北京德风新征程科技,北京德风新征程科技,其他,2,1,1,北京,09:00,21:00,12.0,44.0,偏卷,2
北京公交,北京公交,其他,2,1,1,北京,08:30,17:50,9.3,89.1,舒适,0
北京叮铃科技,北京叮铃科技,互联网,2,1,1,北京,,,,,数据不足,0
北京合众伟奇,北京合众伟奇,互联网,2,1,1,郑州,09:00,17:30,8.5,95.5,舒适,0
和谐健康保险,和谐健康保险,金融,2,1,1,北京,08:30,18:00,9.5,81.9,良好,2
咖乐美,咖乐美,互联网,2,1,1,苏州,08:30,17:30,9.0,91.0,舒适,2
吉利科技时空道宇,吉利科技时空道宇,互联网,2,1,1,上海,08:00,18:00,10.0,86.4,舒适,2
吉屋,吉屋,互联网,2,1,1,深圳,09:00,18:00,9.0,92.4,舒适,2
北京天健源达科技,北京天健源达科技,互联网,2,1,1,武汉,09:30,17:30,8.0,100.0,舒适,2
北京天眼查科技,北京天眼查科技,互联网,2,1,1,北京,09:00,21:00,12.0,48.5,偏卷,2
北京安信天行科技有限公司（国企）,北京安信天行科技有限公司（国企）,互联网,2,1,1,北京,,,,,数据不足,0
北京安普诺信息技术,北京安普诺信息技术,互联网,2,1,1,北京,09:00,20:30,11.5,50.9,偏卷,0
同程,同程,互联网,2,1,2,苏州、上海,09:00,18:00,9.0,92.4,舒适,0
叠纸,叠纸,互联网,2,1,1,上海,10:24,19:39,9.2,84.7,良好,1
叮叮叮网络,叮叮叮网络,互联网,2,1,1,西安,09:00,21:00,12.0,45.5,偏卷,0
合肥有方医疗,合肥有方医疗,其他,2,1,1,合肥,08:30,18:00,9.5,87.9,舒适,2
厦门神州鹰,厦门神州鹰,互联网,2,1,1,厦门,08:30,18:00,9.5,87.9,舒适,0
ISA 科技猎头team,ISA 科技猎头team,互联网,2,1,1,北京,09:00,18:00,9.0,92.4,舒适,2
重庆中联信息产业,重庆中联信息产业,互联网,2,1,1,重庆,09:00,18:00,9.0,92.4,舒适,2
重庆圆信信息科技,重庆圆信信息科技,互联网,2,1,1,重庆,09:00,18:00,9.0,92.4,舒适,2
道一,道一,互联网,2,1,1,广州,09:00,18:00,9.0,92.4,舒适,0
道通科技,道通科技,互联网,2,1,1,深圳,08:45,15:30,13.5,47.4,偏卷,2
NWPU,NWPU,其他,2,1,1,西安,06:30,21:30,15.0,17.2,很卷,0
JLL,JLL,互联网,2,1,2,深圳、上海,09:30,18:00,8.5,96.8,舒适,0
北京鸿文时代科技,北京鸿文时代科技,互联网,2,1,1,北京,10:00,18:30,8.5,94.6,舒适,0
北京立海坤,北京立海坤,互联网,2,1,1,北京,09:00,18:00,9.0,92.4,舒适,0
华锐金融技术,华锐金融技术,互联网,2,1,1,长沙,09:00,21:30,12.5,38.6,很卷,1
北京电旗通讯技术,北京电旗通讯技术,其他,2,1,1,北京,09:00,18:00,9.0,92.4,舒适,2
北京所思信息科技,北京所思信息科技,互联网,2,1,1,北京,10:00,19:00,9.0,89.2,舒适,0
北京拉索生物科技有限公司（基因宝）,北京拉索生物科技有限公司（基因宝）,互联网,2,1,1,北京,09:00,18:30,9.5,82.5,良好,2
北京旗偲,北京旗偲,互联网,2,1,1,北京,09:00,18:00,9.0,92.4,舒适,2
博般数据,博般数据,其他,2,1,1,南京,09:09,17:09,8.0,99.1,舒适,0
